,Location,Property subtype,Price,Number of bedrooms,Living area,Kitchen,Furnished,Open fireplace,Terrace,Garden,Surface area land,Pool,Condition
633,Nivelles,VILLA,535000.0,3.0,240.0,True,False,False,True,True,640.0,False,False
634,Mechelen,HOUSE,349000.0,3.0,196.0,True,False,False,True,True,164.0,False,True
636,Tielt,HOUSE,399000.0,3.0,210.0,True,False,False,False,False,1056.0,False,True
637,Mechelen,HOUSE,375000.0,2.0,180.0,True,False,False,True,True,259.0,False,True
638,Deurne,HOUSE,369900.0,3.0,225.0,True,False,False,False,True,160.0,False,True
639,Andenne,HOUSE,260000.0,4.0,275.0,True,False,False,True,False,231.0,False,True
640,Andenne,APARTMENT_BLOCK,260000.0,4.0,275.0,True,False,False,True,False,231.0,False,True
641,Tongeren,MIXED_USE_BUILDING,725000.0,5.0,908.0,False,False,False,True,True,1480.0,False,True
642,Tongeren,HOUSE,310000.0,3.0,150.0,True,False,False,True,False,0.0,False,False
643,Tongeren,HOUSE,305000.0,3.0,145.0,True,False,False,True,False,0.0,False,False
644,Marche-en-Famenne,HOUSE,399000.0,3.0,539.0,True,False,False,True,True,1385.0,False,True
645,Ohey,HOUSE,419000.0,3.0,160.0,True,False,False,True,True,1003.0,False,False
646,Anderlecht,HOUSE,389000.0,3.0,120.0,False,False,False,True,True,653.0,False,True
647,Kortrijk,HOUSE,275000.0,4.0,205.0,True,False,False,True,True,189.0,False,True
648,Aalst,HOUSE,189000.0,2.0,99.0,True,False,False,True,True,205.0,False,True
650,Hasselt,HOUSE,295000.0,4.0,189.0,True,False,False,True,True,395.0,False,True
651,Hasselt,MIXED_USE_BUILDING,295000.0,4.0,189.0,True,False,False,False,True,395.0,False,True
652,Mechelen,VILLA,640000.0,3.0,250.0,True,False,False,True,True,681.0,False,True
654,Dinant,HOUSE,25000.0,2.0,92.0,True,False,False,False,True,0.0,False,True
655,Gent,HOUSE,399000.0,4.0,379.0,True,False,True,True,True,0.0,False,True
656,Sint-Niklaas,HOUSE,339000.0,6.0,236.0,False,False,False,True,True,139.0,False,True
657,Leuven,HOUSE,375000.0,4.0,200.0,True,False,False,True,False,644.0,False,True
659,Kortrijk,HOUSE,315000.0,3.0,177.0,True,False,False,True,True,222.0,False,True
660,Deurne,HOUSE,218500.0,3.0,80.0,True,False,False,False,True,71.0,False,True
661,Visé,EXCEPTIONAL_PROPERTY,435000.0,4.0,230.0,True,False,True,True,True,270.0,False,True
663,Leuven,HOUSE,400000.0,3.0,120.0,True,False,False,True,True,164.0,False,True
664,Tournai-Mouscron,HOUSE,210000.0,4.0,145.0,True,False,False,True,False,540.0,False,True
665,Molenbeek-Saint-Jean - Sint-Jans-Molenbeek,HOUSE,325000.0,5.0,170.0,False,False,False,False,False,91.0,False,False
666,Liège,APARTMENT_BLOCK,695000.0,0.0,297.0,True,False,False,True,False,0.0,False,True
667,Sambreville,HOUSE,190000.0,2.0,180.0,False,False,False,True,False,485.0,False,False
668,Sint-Niklaas,HOUSE,232000.0,2.0,123.0,True,False,False,False,False,130.0,False,True
670,Dinant,HOUSE,115000.0,1.0,42.0,True,False,False,True,False,0.0,False,True
671,Soignies,HOUSE,145000.0,2.0,110.0,True,False,False,False,True,135.0,False,False
673,Nivelles,HOUSE,1140000.0,7.0,450.0,True,False,False,False,False,0.0,False,True
674,Nivelles,HOUSE,1140000.0,7.0,450.0,True,False,False,False,False,0.0,False,True
675,Halle-Vilvoorde,HOUSE,255000.0,2.0,85.0,True,False,False,True,False,85.0,False,True
678,Uccle - Ukkel,HOUSE,399000.0,2.0,102.0,True,False,False,True,False,0.0,False,False
680,Nivelles,HOUSE,315000.0,3.0,138.0,False,False,False,False,True,1179.0,False,False
683,Kortrijk,HOUSE,218000.0,3.0,162.0,True,False,True,False,True,388.0,False,True
684,Kortrijk,HOUSE,130000.0,4.0,165.0,True,False,False,False,True,121.0,False,True
685,Kortrijk,HOUSE,199000.0,3.0,126.0,False,False,False,False,True,244.0,False,True
686,Kortrijk,HOUSE,295000.0,4.0,182.0,True,False,False,False,True,262.0,False,True
687,Brugge,HOUSE,399000.0,5.0,180.0,False,False,False,True,False,203.0,False,True
691,Gent,HOUSE,438000.0,4.0,201.0,True,False,False,False,True,161.0,False,True
692,Tongeren,HOUSE,569000.0,4.0,285.0,False,False,True,False,True,557.0,False,True
693,Eeklo,HOUSE,245000.0,4.0,223.0,True,False,False,False,True,230.0,False,True
694,Mechelen,HOUSE,290000.0,3.0,140.0,False,False,False,False,False,190.0,False,True
695,Bastogne,HOUSE,340000.0,4.0,160.0,False,False,False,False,False,1223.0,False,True
696,Huy,HOUSE,395000.0,9.0,385.0,True,False,False,True,True,647.0,False,True
702,Oudenaarde,HOUSE,423000.0,3.0,183.0,True,False,True,False,False,1027.0,False,False
703,Molenbeek-Saint-Jean - Sint-Jans-Molenbeek,TOWN_HOUSE,370000.0,4.0,160.0,False,False,False,False,False,60.0,False,True
704,Nivelles,HOUSE,399000.0,3.0,219.0,True,False,False,True,True,204.0,False,True
705,Ganshoren,MANSION,629000.0,5.0,272.0,False,False,False,True,True,0.0,False,True
707,Nivelles,HOUSE,365000.0,3.0,115.0,True,False,False,True,True,382.0,False,True
708,Charleroi,HOUSE,295000.0,4.0,220.0,True,False,False,True,False,350.0,False,True
709,Sint-Niklaas,HOUSE,489000.0,5.0,306.0,True,False,False,False,False,927.0,False,True
710,Halle-Vilvoorde,APARTMENT_BLOCK,3200000.0,0.0,1342.0,False,False,False,True,True,0.0,False,False
711,Evere,APARTMENT_BLOCK,650000.0,4.0,380.0,True,False,False,True,False,130.0,False,True
712,Mechelen,HOUSE,245000.0,3.0,82.0,True,False,False,False,False,45.0,False,True
713,Berchem-Sainte-Agathe - Sint-Agatha-Berchem,HOUSE,349000.0,4.0,151.0,True,False,False,True,False,57.0,False,True
714,Nivelles,HOUSE,325000.0,3.0,150.0,True,False,False,False,True,174.0,False,True
717,Antwerpen,HOUSE,450000.0,3.0,150.0,True,False,True,True,True,150.0,False,True
